epoch,train_loss,val_loss,psnr,ssim,lr
1,0.09701455807685852,0.09037309459277562,23.868062540699576,0.5787739225529437,0.0001
2,0.07794265931844711,0.059737564995884895,25.988298146718787,0.7351806691531415,0.0001
3,0.05694215327501297,0.05172208723212991,27.04243363577931,0.8262213259697347,0.0001
4,0.05029635605216026,0.04826466819005353,27.6632506568525,0.8521895022237345,0.0001
5,0.04872080090641975,0.044399366581014225,28.283139249328446,0.8618809654801708,0.0001
6,0.047860964238643645,0.04351417028478214,28.411200844626638,0.8696035212545825,0.0001
7,0.047180986821651456,0.047772977501153946,27.790741153433032,0.8536411067941476,0.0001
8,0.046518674433231356,0.045172917523554394,28.070188783686493,0.857927184449701,0.0001
9,0.04602308183908463,0.04578283402536597,27.830850540588433,0.8626930536589036,0.0001
10,0.04563069808483124,0.044903697978172986,28.3247726129359,0.8421725213876954,0.0001
11,0.0450348736345768,0.043075845975961,28.550280418041407,0.874133037513089,0.0001
12,0.04445846274495125,0.042198077376399724,28.37520895444456,0.8551462032905518,0.0001
13,0.044001829504966734,0.041676511455859454,28.71159204538631,0.8580495101088094,0.0001
14,0.04355428028106689,0.03926629227186952,29.16971445017728,0.8798830953297327,0.0001
15,0.043230573743581774,0.04235120064445904,28.504043369775896,0.8439873087201751,0.0001
16,0.04281668058037758,0.04327993946416037,28.255107557685427,0.8657940794375918,0.0001
17,0.042402090072631834,0.040467899558799605,28.888025423881636,0.8674485993273651,0.0001
18,0.04187508749961853,0.039687742080007284,28.984921048038327,0.8653116663628911,0.0001
19,0.041599409580230715,0.04312344667102609,28.241296557232832,0.8791921530212606,0.0001
20,0.04119299203157425,0.04382192476519516,28.380634231432794,0.8733279763528625,0.0001
21,0.04080530419945717,0.04002887289971113,28.925906679558285,0.8714786189369964,0.0001
22,0.04026503396034241,0.038718227696205886,29.144938804989646,0.8526213295856643,0.0001
23,0.040006237775087355,0.0392185403034091,29.37134162421135,0.8627767338288367,0.0001
24,0.0397356821000576,0.036342771856912544,29.842476324906574,0.8706615108826908,0.0001
25,0.039372867792844775,0.03800717368721962,29.437600314181115,0.8722845854656726,0.0001
26,0.039016554594039916,0.03905466478317976,29.17827357833243,0.8994054500836912,0.0001
27,0.038727037966251376,0.03743877075612545,29.505674073473898,0.8919793139560614,0.0001
28,0.03850534430146217,0.03684939457369702,29.83107949260427,0.8895394991447035,0.0001
29,0.0383012743294239,0.03668446958597217,29.920638032317946,0.896068763903136,0.0001
30,0.037923097372055056,0.03560347615608147,30.05461409438173,0.8790739489559461,0.0001
31,0.037697527080774305,0.03735095076262951,29.61592377147033,0.8803025210698356,0.0001
32,0.037630791306495666,0.03624033009899514,29.93254192470894,0.8954642113713417,0.0001
33,0.037257335782051086,0.035458323279661794,30.09532470803547,0.8981656422853115,0.0001
34,0.03705834844708443,0.03668207635304758,29.688771155554726,0.8886862435704835,0.0001
35,0.037088249742984775,0.036464523790138106,29.72811793593011,0.8964281107581592,0.0001
36,0.03677667912840843,0.03492058361215251,29.922816902446296,0.8876574782647921,0.0001
37,0.036760927885770796,0.037643730507365296,29.51688688214964,0.8860348585064708,0.0001
38,0.036554817467927936,0.033482465227799754,30.562776747851448,0.895278668143656,0.0001
39,0.03658118364214897,0.035869356244802475,29.978321403136412,0.8998463875002657,0.0001
40,0.036252492278814316,0.03916690817901066,29.409458270873813,0.8928704706320405,0.0001
41,0.03628846949338913,0.03340599725821188,30.544598084027978,0.8914239302089941,0.0001
42,0.03612826004624367,0.03564258252403566,29.805684605720362,0.8852342677909617,0.0001
43,0.03608209535479546,0.034897085678364546,30.334923370139798,0.8901813659736278,0.0001
44,0.035839524388313296,0.034834706889731545,30.098195253664024,0.9109211019203851,0.0001
45,0.03561292731761932,0.034348495969814916,30.234528479951706,0.8906125795170687,0.0001
46,0.03584455612301826,0.035849367667521746,29.954615161091663,0.8926614282956372,0.0001
47,0.03567915007472038,0.031223156888570105,30.92981348490246,0.8788894987420452,0.0001
48,0.03563111585378647,0.035392901194947105,29.93090585339734,0.8828064322986906,0.0001
49,0.03537606990337372,0.036954893065350394,29.671014544674552,0.8784873245251792,0.0001
50,0.035432595133781435,0.03336004979376282,30.471920189198034,0.9005632744573349,0.0001
51,0.035305799663066864,0.0342832159783159,30.049300236651362,0.8891185517535728,5e-05
52,0.035255688041448595,0.03437299228140286,30.039897042598238,0.9060985373317563,5e-05
53,0.03526797157526016,0.03314834340874638,30.396459569955812,0.8857165757285489,5e-05
54,0.034950428456068036,0.03460334773574557,30.382904151426533,0.8719646165281374,5e-05
55,0.03513204789161682,0.0350463210738131,30.138029954889607,0.9009151677804704,5e-05
56,0.035047781258821485,0.03576217352279595,29.93295376956558,0.8989323006993776,5e-05
57,0.03507801076769829,0.03543260507285595,30.023226182362656,0.8963871425068364,5e-05
58,0.03495455250144005,0.032463104996298044,30.474027351274145,0.9037836921064538,5e-05
