epoch,train_loss,val_loss,psnr,ssim,lr
1,0.22514558225870132,0.1273621456431491,19.213721795989745,0.4722108166755362,0.0001
2,0.0991878193616867,0.08133837048496519,22.526933511659706,0.6323470558870291,0.0001
3,0.06717642590403557,0.08276223630777427,22.278183465520552,0.6648116201823359,0.0001
4,0.06080712229013443,0.06889073364436626,23.889590476233074,0.7482595752824234,0.0001
5,0.0552570258975029,0.06452232572649207,25.28039371328189,0.7852044321476042,0.0001
6,0.049431452512741086,0.05128318962774107,26.618196950893026,0.8246454408474416,0.0001
7,0.04724765935540199,0.05953387689909765,25.58353017661126,0.790266950107178,0.0001
8,0.043812669306993485,0.049562902455883365,26.82879305593423,0.8199596034959938,0.0001
9,0.041620380938053134,0.05038968087839229,26.573604162129204,0.817822417272211,0.0001
10,0.040729044616222385,0.04206269234418869,28.417601368398522,0.8437645822123081,0.0001
11,0.0396893595457077,0.049593454759035795,26.78758632737876,0.8263170411475314,0.0001
12,0.0387166323363781,0.04355104733258486,27.87751186890274,0.8258411250722064,0.0001
13,0.03823765981197357,0.048532735157225816,27.620310122043115,0.818791512634167,0.0001
14,0.0380622878074646,0.04602992707597358,27.72751421066439,0.8607011449429921,0.0001
15,0.03727595800161362,0.054007718339562416,26.402916446969506,0.8342012594188443,0.0001
16,0.036958717092871664,0.04077676816710404,28.04711254212637,0.8574494972259359,0.0001
17,0.036323301821947096,0.04377675548728023,28.342660157439582,0.869478260173996,0.0001
18,0.036373036384582516,0.042251351688589366,28.2882091820411,0.8660635788289041,0.0001
19,0.03631129238009453,0.043724371519471915,28.121354315299055,0.868716994189809,0.0001
20,0.03574162203073501,0.042871235603732724,28.44100968673387,0.8389976748369541,0.0001
21,0.03591790509223938,0.042662235242979865,28.677103747891927,0.8532134460947409,0.0001
22,0.035192197114229204,0.04136959024305854,29.331991276152188,0.874554336953468,0.0001
23,0.03550392943620682,0.04059596745563405,28.815149672867868,0.8577551492771963,0.0001
24,0.0348591128885746,0.043893588706851006,29.139714684693562,0.8569541501372276,0.0001
25,0.034955311328172686,0.04250434174069336,28.7315756211143,0.8701662859291454,0.0001
26,0.03494361765682697,0.039685512227671485,29.16113730915953,0.8746422458540893,0.0001
27,0.034405822664499285,0.040777124730604034,28.60963026432169,0.8658937737020921,0.0001
28,0.034231295749545095,0.04276101477444172,28.47666871329651,0.880322135216609,0.0001
29,0.03448363789916038,0.03905801089214427,28.595116858544607,0.8596066840323877,0.0001
30,0.0339677479416132,0.04282631246106965,28.468865065995715,0.866848266187891,0.0001
31,0.033789737418293955,0.039185810168938975,29.075525062344695,0.8728673921299859,0.0001
32,0.03375672279298306,0.04229441364961011,28.50793056025547,0.8743009769624489,0.0001
33,0.03365478701889515,0.03941427557063954,29.28274676270371,0.8812688789649608,0.0001
34,0.03357227955758572,0.04084004954035793,28.919286731692438,0.850284827727501,0.0001
35,0.03344367000460625,0.04019668059689658,28.858054648573265,0.8733836443655703,0.0001
36,0.03325545452535152,0.03954654798976013,29.27503795371415,0.88409282907121,0.0001
37,0.03350298091769219,0.040911754327160973,28.988680201086222,0.8412681326909409,0.0001
38,0.03289156639575958,0.0366094248103244,29.6844625976233,0.863368050876895,0.0001
39,0.03320738199353218,0.03750698986862387,29.27838951819694,0.8805138987680606,0.0001
40,0.03294069740176201,0.03743671519415719,29.41667397695311,0.8895712409712229,0.0001
41,0.032797191217541696,0.035081516818276474,30.10629362820357,0.8964371531066729,0.0001
42,0.0326404168754816,0.03441274551940816,30.048555276607992,0.871436229540121,0.0001
43,0.03261548320949077,0.04359911661595106,28.761546454517315,0.8727942805583868,0.0001
44,0.03241868914663792,0.035750132985413074,29.87503704042503,0.8992207860983417,0.0001
45,0.03301131071150303,0.03620729010019984,29.56325253684327,0.8919215858915461,0.0001
46,0.0325947037935257,0.03691987733223608,29.55235572381861,0.86445247143513,0.0001
47,0.03240802824497223,0.03561827380742345,29.998283545426155,0.8851786989088689,0.0001
48,0.031989309683442116,0.04149520556841578,28.207522564067194,0.8732525401447129,0.0001
49,0.032181367933750156,0.035476419276424816,29.926037224656977,0.885611674883547,0.0001
50,0.032039263024926184,0.040525526606610844,28.890117381675186,0.8868231913917966,0.0001
51,0.031699549704790116,0.036492977025253434,29.73083372116098,0.8809672985817981,5e-05
52,0.03189726638793945,0.03627600986510515,29.432879842602084,0.8804491127869202,5e-05
53,0.031461906522512434,0.03323715339813914,29.912000238738294,0.8797988262154846,5e-05
